workload,codec,type,config,tag,cpi,ipc,sim_seconds,No_OpClass,IntAlu,IntMult,IntDiv,FloatAdd,FloatCmp,FloatCvt,FloatMult,FloatDiv,FloatMisc,FloatSqrt,SimdAdd,SimdAlu,SimdCmp,SimdMisc,SimdMult,SimdMultAcc,SimdSqrt,SimdFloatAdd,SimdFloatAlu,SimdFloatCmp,SimdFloatCvt,SimdFloatDiv,SimdFloatMisc,SimdFloatMult,SimdFloatMultAcc,SimdFloatSqrt,MemRead,MemWrite,l1d_miss_rate,l1i_miss_rate,l2_miss_rate,No_OpClass_pct,IntAlu_pct,IntMult_pct,IntDiv_pct,FloatAdd_pct,FloatCmp_pct,FloatCvt_pct,FloatMult_pct,FloatDiv_pct,FloatMisc_pct,FloatSqrt_pct,SimdAdd_pct,SimdAlu_pct,SimdCmp_pct,SimdMisc_pct,MemRead_pct,MemWrite_pct,Integer_total_pct,Float_total_pct,Simd_total_pct,Memory_total_pct,FP_SIMD_combined_pct,total_operations,
h264_dec,h264,dec,large,h264_dec_large,3.10611,0.3219461,0.000398,0,251259,11,7,0,0,0,0,0,16,0,104,175,180,199,0,0,0,0,0,0,0,0,0,0,0,0,6931,83184,0.859028,0.067803,,0,73.45336865,0.003215754,0.002046389,0,0,0,0,0,0.00467746,0,0.030403489,0.051159718,0.052621424,0.058175908,2.026217163,24.31811405,73.45863079,0.00467746,0.192360539,26.34433121,0.197037999,342066,
h264_dec,h264,dec,medium,h264_dec_medium,3.127388,0.319755656,0.000401,0,251022,11,7,0,0,0,0,0,16,0,104,175,180,199,0,0,0,0,0,0,0,0,0,0,0,0,6874,83133,0.859499,0.068455,,0,73.45817202,0.003219,0.002048455,0,0,0,0,0,0.004682182,0,0.030434185,0.051211368,0.05267455,0.058234642,2.011582548,24.32774105,73.46343947,0.004682182,0.192554745,26.3393236,0.197236927,341721,
h264_dec,h264,dec,small,h264_dec_small,3.243362,0.308322044,0.000415,0,250496,11,7,0,0,0,0,0,16,0,98,165,172,195,0,0,0,0,0,0,0,0,0,0,0,0,6558,83032,0.860816,0.073954,,0,73.5131328,0.003228173,0.002054292,0,0,0,0,0,0.004695525,0,0.028760088,0.048422597,0.050476889,0.057226706,1.924578136,24.3674248,73.51841526,0.004695525,0.18488628,26.29200293,0.189581805,340750,
h264_enc,h264,enc,large,h264_enc_large,1.02478,0.9758192,0.001211,0,1915766,53598,204,42,82,90,20,24,95,0,261,378,559,859,24,12,0,0,0,0,0,0,0,0,0,0,472505,312384,0.140081,0.00321,,0,69.48978618,1.944138042,0.007399607,0.001523449,0.002974352,0.003264533,0.000725452,0.000870542,0.003445896,0,0.009467145,0.013711037,0.020276375,0.031158151,17.13897805,11.33097537,71.44132383,0.012804223,0.075918522,28.46995342,0.088722744,2756903,
h264_enc,h264,enc,medium,h264_enc_medium,1.062025,0.94159742,0.001255,0,1916434,53598,204,42,82,90,20,24,95,0,263,378,559,857,24,12,0,0,0,0,0,0,0,0,0,0,478033,312558,0.152918,0.003318,,0,69.35376997,1.939656342,0.00738255,0.001519937,0.002967495,0.003257007,0.000723779,0.000868535,0.003437952,0,0.009517699,0.01367943,0.020229633,0.031013946,17.29952126,11.31115167,71.30080886,0.012774706,0.075743511,28.61067292,0.088518217,2763273,
h264_enc,h264,enc,small,h264_enc_small,1.10941,0.901380013,0.001311,0,1914213,53598,206,42,81,88,20,24,94,0,263,378,561,848,24,12,0,0,0,0,0,0,0,0,0,0,467924,312103,0.153693,0.003615,,0,69.59562316,1.948678757,0.007489605,0.001527007,0.002944942,0.003199443,0.000727146,0.000872575,0.003417587,0,0.009561971,0.013743061,0.020396447,0.030830993,17.01245492,11.34722352,71.55179152,0.012688699,0.075841335,28.35967844,0.088530034,2750479,
jpeg2k_dec,jpeg2k,dec,large,jpeg2k_dec_large,1.452524,0.688456783,0.140047,0,213555769,16410,1837,57,0,146,296,1,1032,0,473540,201861,403976,2963,0,0,0,0,0,0,0,0,0,1,0,0,39522908,18098676,0.006411,2.20E-05,,0,78.43256293,0.006026896,0.000674674,2.09E-05,0,5.36E-05,0.000108712,3.67E-07,0.000379022,0,0.173916893,0.074137429,0.148368144,0.00108822,14.51556651,6.647095281,78.4392645,0.000562657,0.397511053,21.16266179,0.39807371,272279473,
jpeg2k_dec,jpeg2k,dec,medium,jpeg2k_dec_medium,1.457884,0.685925629,0.140564,0,213532315,16410,1812,57,0,146,262,1,1032,0,473540,201852,403972,2987,0,0,0,0,0,0,0,0,0,21,0,0,39473063,18098000,0.008708,3.60E-05,,0,78.44526967,0.006028534,0.000665674,2.09E-05,0,5.36E-05,9.63E-05,3.67E-07,0.000379125,0,0.173964175,0.074154278,0.14840701,0.001097333,14.50120124,6.648654048,78.45196388,0.00055032,0.397630511,21.14985529,0.39818083,272205470,
jpeg2k_dec,jpeg2k,dec,small,jpeg2k_dec_small,1.494536,0.669103989,0.144097,0,209075247,16376,1794,54,0,146,193,1,1032,0,473538,201848,403975,3058,0,0,0,0,0,0,0,0,0,34,0,0,38845152,17910086,0.027469,0.000252,,0,78.32512728,0.006134884,0.00067208,2.02E-05,0,5.47E-05,7.23E-05,3.75E-07,0.000386615,0,0.177399882,0.075617609,0.151339739,0.001145608,14.5524232,6.709592769,78.33193424,0.000534217,0.405515575,21.26201597,0.406049792,266932534,
jpeg2k_enc,jpeg2k,enc,large,jpeg2k_enc_large,8.766953,0.114064716,4.80E-05,0,12361,7,5,0,0,3,1,0,1,0,52,60,60,44,0,0,0,0,0,0,0,0,0,0,0,0,2767,2669,0.254661,0.107339,,0,68.55795896,0.038824182,0.027731559,0,0,0.016638935,0.005546312,0,0.005546312,0,0.288408209,0.332778702,0.332778702,0.244037715,15.34664448,14.80310593,68.6245147,0.027731559,1.198003328,30.14975042,1.225734886,18030,
jpeg2k_enc,jpeg2k,enc,medium,jpeg2k_enc_medium,8.766953,0.114064716,4.80E-05,0,12333,7,5,0,0,3,1,0,1,0,49,54,56,41,0,0,0,0,0,0,0,0,0,0,0,0,2758,2668,0.254989,0.107474,,0,68.60814419,0.03894081,0.027814864,0,0,0.016688919,0.005562973,0,0.005562973,0,0.27258567,0.300400534,0.31152648,0.228081887,15.34267913,14.84201157,68.67489987,0.027814864,1.112594571,30.1846907,1.140409435,17976,
jpeg2k_enc,jpeg2k,enc,small,jpeg2k_enc_small,8.784232,0.113840345,4.80E-05,0,12091,7,5,0,0,3,1,0,1,0,49,54,55,41,0,0,0,0,0,0,0,0,0,0,0,0,2676,2641,0.26232,0.108954,,0,68.60531094,0.039718566,0.028370404,0,0,0.017022242,0.005674081,0,0.005674081,0,0.278029959,0.306400363,0.312074444,0.232637313,15.18384022,14.98524739,68.67339991,0.028370404,1.129142079,30.16908761,1.157512483,17624,
mp3_dec,mp3,dec,large,mp3_dec_large,0.922015,1.084581053,0.000501,0,653883,8231,6,3901,50209,25123,43179,8319,126475,8,101,315,160,8437,0,0,0,0,0,0,0,0,0,0,0,0,152566,104104,0.025267,0.003751,,0,55.1792084,0.694589192,0.000506322,0.32919359,4.23698563,2.120053974,3.643745195,0.702015245,10.67284267,0.000675096,0.008523084,0.026581897,0.013501916,0.711972908,12.87458323,8.785021649,55.87430391,21.7055114,0.760579806,21.65960488,22.4660912,1185017,
mp3_dec,mp3,dec,medium,mp3_dec_medium,0.920092,1.086847837,0.0005,0,653906,8231,6,3899,50209,25123,43179,8319,126475,8,101,315,156,8438,0,0,0,0,0,0,0,0,0,0,0,0,152514,104101,0.025588,0.003821,,0,55.18287228,0.69461088,0.000506338,0.329035089,4.237117926,2.120120171,3.643858968,0.702037165,10.67317592,0.000675117,0.008523351,0.026582727,0.013164779,0.712079529,12.87059697,8.785042786,55.8779895,21.70602035,0.760350386,21.65563976,22.46637074,1184980,
mp3_dec,mp3,dec,small,mp3_dec_small,0.99383,1.006208305,0.00054,0,653445,8231,7,3889,50203,25120,43176,8314,126452,8,101,306,156,8435,0,0,0,0,0,0,0,0,0,0,0,0,151959,104049,0.02529,0.003985,,0,55.19655767,0.695273307,0.000591291,0.328504178,4.240651906,2.12188865,3.647080587,0.702284325,10.68141177,0.000675761,0.008531479,0.025847847,0.013177334,0.712505205,12.83599034,8.789028349,55.89242227,21.72249717,0.760061866,21.62501869,22.48255904,1183851,
mp3_enc,mp3,enc,large,mp3_enc_large,1.984674,0.503861088,0.00013,0,107767,16,3,0,0,0,0,0,10,0,34,52,48,53,0,0,0,0,0,0,0,0,0,0,0,0,9240,33004,0.783804,0.058671,,0,71.73610603,0.010650549,0.001996978,0,0,0,0,0,0.006656593,0,0.022632416,0.034614284,0.031951647,0.035279943,6.150691953,21.96941961,71.74875355,0.006656593,0.12447829,28.12011156,0.131134883,150227,
mp3_enc,mp3,enc,medium,mp3_enc_medium,1.987553,0.503131237,0.00013,0,107762,16,3,0,0,0,0,0,10,0,34,52,48,53,0,0,0,0,0,0,0,0,0,0,0,0,9296,33005,0.786163,0.058873,,0,71.70795653,0.010646864,0.001996287,0,0,0,0,0,0.00665429,0,0.022624585,0.034602306,0.031940591,0.035267735,6.185827694,21.96248311,71.72059968,0.00665429,0.124435217,28.14831081,0.131089507,150279,
mp3_enc,mp3,enc,small,mp3_enc_small,1.996446,0.500890082,0.000131,0,107361,16,3,0,0,0,0,0,10,0,34,52,48,53,0,0,0,0,0,0,0,0,0,0,0,0,9126,32911,0.788363,0.059997,,0,71.75865895,0.010694186,0.00200516,0,0,0,0,0,0.006683866,0,0.022725146,0.034756106,0.032082559,0.035424492,6.099696552,21.99727298,71.7713583,0.006683866,0.124988303,28.09696953,0.13167217,149614,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
